,degree,in_degree,out_degree,betweenness,harmonic_closeness,pagerank,eigenvector,k_core,clustering
LANACION,1,0,1,0.0,0.0,0.0011290390375732714,1.0939187288819542e-08,1,0
LDavidCL_,1,1,0,0.0,1.0,0.0011890332133626324,2.62540494931669e-07,1,0
LEOARCHILE,1,1,0,0.0,1.0,0.002088945850203048,2.62540494931669e-07,1,0
LaBelgrana,1,0,1,0.0,0.0,0.0011290390375732714,1.0939187288819542e-08,1,0
LaInca_,1,0,1,0.0,0.0,0.0011290390375732714,1.0939187288819542e-08,1,0
LaKretiOFF,1,1,0,0.0,1.0,0.002088945850203048,2.62540494931669e-07,1,0
LaMatriota,1,0,1,0.0,0.0,0.0011290390375732714,1.0939187288819542e-08,1,0
LaTrujo,1,1,0,0.0,1.0,0.002088945850203048,2.62540494931669e-07,1,0
LaVonHayek,1,1,0,0.0,1.0,0.002088945850203048,2.62540494931669e-07,1,0
La_Segunda,3,0,3,0.0,0.0,0.0011290390375732714,1.0939187288819542e-08,2,0
La_SemiYA_dl_VD,1,1,0,0.0,1.0,0.002088945850203048,2.62540494931669e-07,1,0
LarryLu20942400,1,1,0,0.0,1.0,0.002088945850203048,2.62540494931669e-07,1,0
Lautafym,1,0,1,0.0,0.0,0.0011290390375732714,1.0939187288819542e-08,1,0
Lettus_Maglio,8,8,0,0.0,8.0,0.003426963185129215,2.0237496484316115e-06,3,0
LiaDacosta_27,1,1,0,0.0,1.0,0.0011600037734645545,2.62540494931669e-07,1,0
LoloMino,1,1,0,0.0,1.0,0.002088945850203048,2.62540494931669e-07,1,0
LucyHerSan,2,2,0,0.0,2.0,0.0016828314294750656,5.141418025745184e-07,2,0
LuisCepeda,1,1,0,0.0,1.0,0.0016089924438881596,2.62540494931669e-07,1,0
LuisaAlcalde,1,0,1,0.0,0.0,0.0011290390375732714,1.0939187288819542e-08,1,0
LuzMaSierra,1,0,1,0.0,0.0,0.0011290390375732714,1.0939187288819542e-08,1,0
LyaGonzalez1,1,1,0,0.0,1.0,0.00144900797511653,2.62540494931669e-07,1,0
MOinternationa,1,1,0,0.0,1.0,0.001209031271959086,2.62540494931669e-07,1,0
MSEQUEYRO,1,1,0,0.0,1.0,0.002088945850203048,2.62540494931669e-07,1,0
M_Saredi,1,0,1,0.0,0.0,0.0011290390375732714,1.0939187288819542e-08,1,0
Maanuignacio,1,1,0,0.0,1.0,0.0011600037734645545,2.62540494931669e-07,1,0
Macarena_Olona,1,1,0,0.0,1.0,0.002088945850203048,2.62540494931669e-07,1,0
MackenzieKirc11,1,1,0,0.0,1.0,0.002088945850203048,2.62540494931669e-07,1,0
MadameSiimone,0,0,0,0.0,0.0,0.0011290390375732714,1.0939187288819542e-08,0,0
MahuPablo,2,2,0,0.0,3.5,0.0014901467709470438,0.22941088180860947,2,0
Mamertos0,1,0,1,0.0,0.0,0.0011290390375732714,1.0939187288819542e-08,1,0
MandrilandiaX,1,1,0,0.0,1.0,0.0012490273891519934,2.62540494931669e-07,1,0
Marcoos2_,1,0,1,0.0,0.0,0.0011290390375732714,1.0939187288819542e-08,1,0
MarculiTime,1,0,1,0.0,0.0,0.0011290390375732714,1.0939187288819542e-08,1,0
Margaritarosadf,1,0,1,0.0,0.0,0.0011290390375732714,1.0939187288819542e-08,1,0
Maria_Marcela,1,1,0,0.0,1.0,0.002088945850203048,2.62540494931669e-07,1,0
Mark1FuerzaG,1,1,0,0.0,1.0,0.002088945850203048,2.62540494931669e-07,1,0
MartaNebot,1,0,1,0.0,0.0,0.0011290390375732714,1.0939187288819542e-08,1,0
MartinDandach,1,1,0,0.0,1.0,0.0012490273891519934,2.62540494931669e-07,1,0
Martin_M_Guzman,1,0,1,0.0,0.0,0.0011290390375732714,1.0939187288819542e-08,1,0
Martinminguchi,1,1,0,0.0,1.0,0.002088945850203048,2.62540494931669e-07,1,0
MartnKohan1,1,1,0,0.0,1.0,0.002088945850203048,2.62540494931669e-07,1,0
MartnPeiretti1,1,1,0,0.0,1.0,0.002088945850203048,2.62540494931669e-07,1,0
MashiRafael,3,0,3,0.0,0.0,0.0011290390375732714,1.0939187288819542e-08,1,0
Matador000,2,0,2,0.0,0.0,0.0011290390375732714,1.0939187288819542e-08,1,0
MateconMote,2,1,1,2.523531935296641e-06,1.0,0.0012490273891519934,2.62540494931669e-07,1,0
MateoCanulli3,1,1,0,0.0,1.0,0.002088945850203048,2.62540494931669e-07,1,0
MathiasMonges10,1,1,0,0.0,1.0,0.002088945850203048,2.62540494931669e-07,1,0
MatiAromi,7,2,5,2.5235319352966412e-05,2.0,0.0019289613814314184,5.141418025745184e-07,1,0
MatiLara14,1,1,0,0.0,1.0,0.00144900797511653,2.62540494931669e-07,1,0
MatiasF_24,1,1,0,0.0,1.0,0.002088945850203048,2.62540494931669e-07,1,0
MatiasGarate15,1,1,0,0.0,1.0,0.002088945850203048,2.62540494931669e-07,1,0
MatiasGavioes,1,1,0,0.0,1.0,0.002088945850203048,2.62540494931669e-07,1,0
MatronaClau,1,1,0,0.0,3.0,0.0014161668394958823,0.22941135219366288,1,0
MattoneFabian,0,0,0,0.0,0.0,0.0011290390375732714,1.0939187288819542e-08,0,0
MaturanaRM,1,1,0,0.0,1.0,0.002088945850203048,2.62540494931669e-07,1,0
Matyzze,1,1,0,0.0,1.0,0.002088945850203048,2.62540494931669e-07,1,0
MauroFdz,3,0,3,0.0,0.0,0.0011290390375732714,1.0939187288819542e-08,1,0
MdeFrancisco12,1,0,1,0.0,0.0,0.0011290390375732714,1.0939187288819542e-08,1,0
Mecha_corta29,2,2,0,0.0,2.0,0.0017156487564025794,5.141418025745184e-07,1,0
MedicoLiberdade,1,0,1,0.0,0.0,0.0011290390375732714,1.0939187288819542e-08,1,0
MegafonoPopular,1,1,0,0.0,1.0,0.001235695350087691,2.62540494931669e-07,1,0
Meruanista,1,1,0,0.0,1.0,0.001235695350087691,2.62540494931669e-07,1,0
Metazoario,1,1,0,0.0,1.0,0.002088945850203048,2.62540494931669e-07,1,0
MexJames,1,0,1,0.0,0.0,0.0011290390375732714,1.0939187288819542e-08,1,0
Michel_Salinas,1,1,0,0.0,1.0,0.002088945850203048,2.62540494931669e-07,1,0
MinMujeryEG,1,0,1,0.0,0.0,0.0011290390375732714,1.0939187288819542e-08,1,0
Mirko1122011,1,0,1,0.0,0.0,0.0011290390375732714,1.0939187288819542e-08,1,0
Missmelindres,1,1,0,0.0,1.0,0.001209031271959086,2.62540494931669e-07,1,0
Monicao2712,1,0,1,0.0,0.0,0.0011290390375732714,1.0939187288819542e-08,1,0
MuniNunoa,1,0,1,0.0,0.0,0.0011290390375732714,1.0939187288819542e-08,1,0
Mynestrillas,1,1,0,0.0,1.0,0.002088945850203048,2.62540494931669e-07,1,0
NacionPaisa,1,0,1,0.0,0.0,0.0011290390375732714,1.0939187288819542e-08,1,0
NicoSantillan85,1,1,0,0.0,1.5,0.0029041538044949694,3.0301548790030126e-06,1,0
Niobe_sub0,1,1,0,0.0,1.0,0.002088945850203048,2.62540494931669e-07,1,0
Ojo_Kritico,1,0,1,0.0,0.0,0.0011290390375732714,1.0939187288819542e-08,1,0
OliverGonzalezV,1,1,0,0.0,1.0,0.002088945850203048,2.62540494931669e-07,1,0
Onfirereal2012,1,1,0,0.0,1.0,0.0011890332133626324,2.62540494931669e-07,1,0
PETRIIISTAAAAS,2,2,0,0.0,2.0,0.002168938084588863,5.141418025745184e-07,1,0
PRChile,1,0,1,0.0,0.0,0.0011290390375732714,1.0939187288819542e-08,1,0
Palempty,1,1,0,0.0,1.0,0.0012490273891519934,2.62540494931669e-07,1,0
PamCerdeira,1,0,1,0.0,0.0,0.0011290390375732714,1.0939187288819542e-08,1,0
PamJiles,2,1,1,1.2617659676483206e-05,3.0,0.0014161668394958823,0.22941135219366288,1,0
Pastibord,1,1,0,0.0,1.0,0.002088945850203048,2.62540494931669e-07,1,0
PinoKiefer,1,1,0,0.0,1.0,0.002088945850203048,2.62540494931669e-07,1,0
PitonGigaton,1,1,0,0.0,1.0,0.0016089924438881596,2.62540494931669e-07,1,0
PizarroMariaJo,1,0,1,0.0,0.0,0.0011290390375732714,1.0939187288819542e-08,1,0
PortillogMayra,1,0,1,0.0,0.0,0.0011290390375732714,1.0939187288819542e-08,1,0
PotusAmarillo,0,0,0,0.0,0.0,0.0011290390375732714,1.0939187288819542e-08,0,0
QuemaBosque,1,0,1,0.0,0.0,0.0011290390375732714,1.0939187288819542e-08,1,0
QuinteroCalle,1,0,1,0.0,0.0,0.0011290390375732714,1.0939187288819542e-08,1,0
RAMSESTX,1,1,0,0.0,1.0,0.002088945850203048,2.62540494931669e-07,1,0
RAlvarezDelgado,1,1,0,0.0,1.0,0.002088945850203048,2.62540494931669e-07,1,0
RBarraza14,1,1,0,0.0,4.833333333333333,0.0015058801402937302,0.22941688742243102,1,0
RConstanzaB,2,0,2,0.0,0.0,0.0011290390375732714,1.0939187288819542e-08,1,0
RNchile,1,0,1,0.0,0.0,0.0011290390375732714,1.0939187288819542e-08,1,0
RRueda_Ermel,1,0,1,0.0,0.0,0.0011290390375732714,1.0939187288819542e-08,1,0
RSWeones,1,0,1,0.0,0.0,0.0011290390375732714,1.0939187288819542e-08,1,0
RamiroBejaranoG,1,0,1,0.0,0.0,0.0011290390375732714,1.0939187288819542e-08,1,0
RenzoMPantich,1,0,1,0.0,0.0,0.0011290390375732714,1.0939187288819542e-08,1,0
Rincon001A,1,1,0,0.0,1.0,0.002088945850203048,2.62540494931669e-07,1,0
RobertoMerken,11,7,4,6.456035867800575e-05,7.0,0.002413728216242227,1.7721483407887634e-06,3,0
Rockomodernlif3,0,0,0,0.0,0.0,0.0011290390375732714,1.0939187288819542e-08,0,0
RodrigoSafdiye,1,1,0,0.0,1.0,0.0016089924438881596,2.62540494931669e-07,1,0
RodriguezManuel,1,1,0,0.0,1.0,0.002088945850203048,2.62540494931669e-07,1,0
RovegnoTir6824,1,0,1,0.0,0.0,0.0011290390375732714,1.0939187288819542e-08,1,0
RutaKritica,1,0,1,0.0,0.0,0.0011290390375732714,1.0939187288819542e-08,1,0
S23Alejandro,1,1,0,0.0,2.0,0.0014568883924812133,5.797769263074357e-06,1,0
SDo2023,1,1,0,0.0,1.0,0.002088945850203048,2.62540494931669e-07,1,0
SGF76717518,1,1,0,0.0,4.5,0.0016417736854249815,1.9635841183431068e-05,1,0
SQP_oficial,1,0,1,0.0,0.0,0.0011290390375732714,1.0939187288819542e-08,1,0
SS_Area51,1,1,0,0.0,1.0,0.002088945850203048,2.62540494931669e-07,1,0
SXTrece,1,1,0,0.0,1.0,0.002088945850203048,2.62540494931669e-07,1,0
S_Schwartzmann,1,0,1,0.0,0.0,0.0011290390375732714,1.0939187288819542e-08,1,0
SalvoMontalban6,1,1,0,0.0,1.0,0.002088945850203048,2.62540494931669e-07,1,0
Sanfeliu,0,0,0,0.0,0.0,0.0011290390375732714,1.0939187288819542e-08,0,0
SantarossaLM,1,1,0,0.0,1.0,0.002088945850203048,2.62540494931669e-07,1,0
Santetitas,2,0,2,0.0,0.0,0.0011290390375732714,1.0939187288819542e-08,1,0
SantiPenap,1,0,1,0.0,0.0,0.0011290390375732714,1.0939187288819542e-08,1,0
Santi_ABASCAL,5,0,5,0.0,0.0,0.0011290390375732714,1.0939187288819542e-08,1,0
Santiago8682,1,1,0,0.0,1.0,0.002088945850203048,2.62540494931669e-07,1,0
SantiagoCaputo_,1,0,1,0.0,0.0,0.0011290390375732714,1.0939187288819542e-08,1,0
Santibotero2026,1,0,1,0.0,0.0,0.0011290390375732714,1.0939187288819542e-08,1,0
SantosFdz,1,1,0,0.0,1.0,0.002088945850203048,2.62540494931669e-07,1,0
SebasteanoV,1,1,0,0.0,1.0,0.001235695350087691,2.62540494931669e-07,1,0
Sebasti45781359,2,2,0,0.0,4.0,0.0017361357770391411,0.22941160379497053,2,0
SergioChouza,1,0,1,0.0,0.0,0.0011290390375732714,1.0939187288819542e-08,1,0
SergioMassa,1,0,1,0.0,0.0,0.0011290390375732714,1.0939187288819542e-08,1,0
Sherpabaron,1,1,0,0.0,1.0,0.0013210204000992265,2.62540494931669e-07,1,0
SilvanaNHR,11,11,0,0.0,11.0,0.00622854397966896,2.778553571360163e-06,3,0
Sitlalo_Mapach,0,0,0,0.0,0.0,0.0011290390375732714,1.0939187288819542e-08,0,0
Sonia_Traga,1,1,0,0.0,1.5,0.0029041538044949694,3.0301548790030126e-06,1,0
SoyFeudaleM,1,0,1,0.0,0.0,0.0011290390375732714,1.0939187288819542e-08,1,0
SoyMmadrigal,0,0,0,0.0,0.0,0.0011290390375732714,1.0939187288819542e-08,0,0
Soy_Tu_Aji,1,1,0,0.0,1.0,0.002088945850203048,2.62540494931669e-07,1,0
SrLiberal,0,0,0,0.0,0.0,0.0011290390375732714,1.0939187288819542e-08,0,0
StatsMillo,1,0,1,0.0,0.0,0.0011290390375732714,1.0939187288819542e-08,1,0
StefanoLopezOk,1,1,0,0.0,1.0,0.002088945850203048,2.62540494931669e-07,1,0
Subero78,1,0,1,0.0,0.0,0.0011290390375732714,1.0939187288819542e-08,1,0
Sumtertius73,1,1,0,0.0,1.0,0.0016089924438881596,2.62540494931669e-07,1,0
SuperWubban,1,0,1,0.0,0.0,0.0011290390375732714,1.0939187288819542e-08,1,0
T13,9,0,9,0.0,0.0,0.0011290390375732714,1.0939187288819542e-08,2,0
TTendenciaX,1,0,1,0.0,0.0,0.0011290390375732714,1.0939187288819542e-08,1,0
TanoGiuliani,1,0,1,0.0,0.0,0.0011290390375732714,1.0939187288819542e-08,1,0
TonoArroyoS,1,0,1,0.0,0.0,0.0011290390375732714,1.0939187288819542e-08,1,0
TraductorTeAma,2,1,1,2.523531935296641e-06,1.0,0.002088945850203048,2.62540494931669e-07,1,0
Trumperizar,1,0,1,0.0,0.0,0.0011290390375732714,1.0939187288819542e-08,1,0
TugoNews,1,0,1,0.0,0.0,0.0011290390375732714,1.0939187288819542e-08,1,0
TuiteroMartin,0,0,0,0.0,0.0,0.0011290390375732714,1.0939187288819542e-08,0,0
Turfpremium,1,1,0,0.0,2.0,0.0014568883924812133,5.797769263074357e-06,1,0
Turgon1998,1,1,0,0.0,2.0,0.0014568883924812133,5.797769263074357e-06,1,0
Tv_Libertaria,1,1,0,0.0,1.0,0.00144900797511653,2.62540494931669e-07,1,0
UnViejoTwiter0,1,1,0,0.0,2.8333333333333335,0.0023334932679109173,0.22941063020730182,1,0
ValdebenitoNata,1,0,1,0.0,0.0,0.0011290390375732714,1.0939187288819542e-08,1,0
Victor06748201,1,0,1,0.0,0.0,0.0011290390375732714,1.0939187288819542e-08,1,0
ViejoLibertario,2,2,0,0.0,2.0,0.002168938084588863,5.141418025745184e-07,1,0
Waifu_Argentina,1,1,0,0.0,1.5,0.0020165964210341206,3.0301548790030126e-06,1,0
WalterMaciel15,1,1,0,0.0,1.0,0.002088945850203048,2.62540494931669e-07,1,0
WendigoUprising,2,2,0,0.0,4.5,0.002227601185853404,1.4352213722931242e-05,2,0
WernerPertot,0,0,0,0.0,0.0,0.0011290390375732714,1.0939187288819542e-08,0,0
White_Hunters,1,1,0,0.0,1.0,0.002088945850203048,2.62540494931669e-07,1,0
XFarmer1977,1,0,1,0.0,0.0,0.0011290390375732714,1.0939187288819542e-08,1,0
XochitlGalvez,1,0,1,0.0,0.0,0.0011290390375732714,1.0939187288819542e-08,1,0
YoBlumen,1,1,0,0.0,1.0,0.0011600037734645545,2.62540494931669e-07,1,0
ZuritaCarpio,1,0,1,0.0,0.0,0.0011290390375732714,1.0939187288819542e-08,1,0
_LauraDiMarco,1,0,1,0.0,0.0,0.0011290390375732714,1.0939187288819542e-08,1,0
_ceciliaD,1,1,0,0.0,1.0,0.0011600037734645545,2.62540494931669e-07,1,0
aargandonab,1,0,1,0.0,0.0,0.0011290390375732714,1.0939187288819542e-08,1,0
abogadabruna,1,1,0,0.0,1.0,0.0012890235063449007,2.62540494931669e-07,1,0
abrahamendieta,2,1,1,2.523531935296641e-06,1.0,0.002088945850203048,2.62540494931669e-07,1,0
adnradiochile,9,0,9,0.0,0.0,0.0011290390375732714,1.0939187288819542e-08,3,0
aesavgm,1,1,0,0.0,1.0,0.002088945850203048,2.62540494931669e-07,1,0
aetchebarne,1,1,0,0.0,1.0,0.002088945850203048,2.62540494931669e-07,1,0
agarra_pala,2,1,1,2.523531935296641e-06,1.0,0.002088945850203048,2.62540494931669e-07,1,0
agnostico161,1,1,0,0.0,1.0,0.002088945850203048,2.62540494931669e-07,1,0
alejasolano,1,1,0,0.0,1.0,0.002088945850203048,2.62540494931669e-07,1,0
alex_hurty,1,1,0,0.0,1.0,0.002088945850203048,2.62540494931669e-07,1,0
altashanta,2,2,0,0.0,2.0,0.003048852662832825,5.141418025745184e-07,1,0
alvaroelizalde,1,0,1,0.0,0.0,0.0011290390375732714,1.0939187288819542e-08,1,0
amorenoe,1,1,0,0.0,4.833333333333333,0.0015058801402937302,0.22941688742243102,1,0
andres20ad,2,2,0,0.0,2.0,0.0012666600859789741,5.141418025745184e-07,2,0
andresmego,1,1,0,0.0,3.4166666666666665,0.005114062378358371,0.00014417848846664158,1,0
anluma99,0,0,0,0.0,0.0,0.0011290390375732714,1.0939187288819542e-08,0,0
aquiradiomoscu,3,0,3,0.0,0.0,0.0011290390375732714,1.0939187288819542e-08,1,0
armesillaconde,1,0,1,0.0,0.0,0.0011290390375732714,1.0939187288819542e-08,1,0
arr1910,1,0,1,0.0,0.0,0.0011290390375732714,1.0939187288819542e-08,1,0
arturorp83,1,1,0,0.0,1.0,0.001235695350087691,2.62540494931669e-07,1,0
aurorasolar_,1,0,1,0.0,0.0,0.0011290390375732714,1.0939187288819542e-08,1,0
azucenau,1,0,1,0.0,0.0,0.0011290390375732714,1.0939187288819542e-08,1,0
barandista,0,0,0,0.0,0.0,0.0011290390375732714,1.0939187288819542e-08,0,0
basteiro,1,0,1,0.0,0.0,0.0011290390375732714,1.0939187288819542e-08,1,0
benjagonzaleze,1,1,0,0.0,1.0,0.0011600037734645545,2.62540494931669e-07,1,0
biobio,16,0,16,0.0,0.0,0.0011290390375732714,1.0939187288819542e-08,3,0
blueMulholland,1,1,0,0.0,1.0,0.002088945850203048,2.62540494931669e-07,1,0
botcitoar,1,1,0,0.0,1.0,0.002088945850203048,2.62540494931669e-07,1,0
boxcarter1,1,1,0,0.0,1.0,0.0011600037734645545,2.62540494931669e-07,1,0
cacacatalao,0,0,0,0.0,0.0,0.0011290390375732714,1.0939187288819542e-08,0,0
camila_musante,1,0,1,0.0,0.0,0.0011290390375732714,1.0939187288819542e-08,1,0
camila_vallejo,1,0,1,0.0,0.0,0.0011290390375732714,1.0939187288819542e-08,1,0
camilaemiliasv,1,0,1,0.0,0.0,0.0011290390375732714,1.0939187288819542e-08,1,0
camipaisa1,1,1,0,0.0,1.0,0.002088945850203048,2.62540494931669e-07,1,0
candrews_cl,1,0,1,0.0,0.0,0.0011290390375732714,1.0939187288819542e-08,1,0
carlitos_silvac,1,1,0,0.0,1.0,0.0011600037734645545,2.62540494931669e-07,1,0
carmen_hertz,1,1,0,0.0,3.0,0.0014161668394958823,0.22941135219366288,1,0
carmenrosselot,2,2,0,0.0,2.0,0.0021956021627174676,5.141418025745184e-07,1,0
carnecrudaradio,1,0,1,0.0,0.0,0.0011290390375732714,1.0939187288819542e-08,1,0
catasanmartinlc,1,1,0,0.0,1.0,0.0012028780231601772,2.62540494931669e-07,1,0
checho_hirane,1,0,1,0.0,0.0,0.0011290390375732714,1.0939187288819542e-08,1,0
cherrAL62,3,3,0,0.0,3.0,0.003079817398724108,7.657431102173682e-07,1,0
chvnoticias,2,0,2,0.0,0.0,0.0011290390375732714,1.0939187288819542e-08,1,0
ciper,1,0,1,0.0,0.0,0.0011290390375732714,1.0939187288819542e-08,1,0
claudiapineiro,1,0,1,0.0,0.0,0.0011290390375732714,1.0939187288819542e-08,1,0
